name	rarity	spawnable	completed	uniqueonly	mindam	maxdam	2handmindam	2handmaxdam	rangeadder	StrBonus	DexBonus	speed	weaponspeedenum	minmisdam	maxmisdam	misspeed	basespeed	modspeed	dam/frame	reqstr	reqdex	durability	nodurability	level	cost	replenish	code	alternateGfx	OpenBetaGfx	ubercode	wclass	2handedwclass	group	weapongroupenum	1or2handed	spelloffset	hit class	2Handed	throwable	stackable	minstack	maxstack	class	reload	range	component	bodyLoc1	bodyLoc2	invwidth	invheight	hasinv	gemsockets	flippyfile	invfile	uniqueinvfile	special	useable	type	sound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	damvsundead	damvsdemon	damvslarge	damvssmall	damvsflying	tohitvsundead	tohitvsdemon	tohitvslarge	tohitvssmall	tohitvsflying	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Amazon	Paladin	Barbarian	Necromancer	Sorceress	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade
Grand Scepter	3	1	1	0	6	11	6	11	0	1	0	10	3				7	14	0.5	37	0	60	0	15	1109		gsc	mac	mac	9gs	1hs	1hs	1hmace	0	0	0	8	0	0	0	0	0	paladin			5	4	5	1	3	1	2	flpgsc	invgsc		magically charged	0	24	29	0	0	5	0	0	0	0	0	7	0	150	100	66	150	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	3	1	3	1	0	0	0	0	255	0	0	0	0	255	3	5	3	5	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	2	3	1	2	1			0	0	0	0	0	2	2	0	0	0
War Scepter	4	1	1	0	7	14	3	7	0	1	0	-10	3				7	0	-3.5	55	0	70	0	25	2323		wsp	whm	mac	9ws	1hs	1hs	1hmace	0	0	0	8	0	0	0	0	0	paladin			5	4	5	2	3	1	2	flpwsp	invwsp		magically charged	0	24	29	0	0	5	0	0	0	0	0	7	0	150	100	66	150	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	3	1	3	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	1	2	1	1	1			0	0	0	0	0	2	2	0	0	0
Spiked Club	1	1	1	0	5	6	5	6	0	1	0	0	3				7	7	0.785714286	0	0	36	0	4	225		spc	clb	clb	9sp	1hs	1hs	1hmace	0	0	0	3	0	0	0	0	0				5	4	5	1	3	1	2	flpspc	invspc	invspcu		0	29	28	0	0	5	0	0	0	0	0	7	0	150	100	66	150	100	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Mace	1	1	1	0	3	10	3	10	0	1	0	0	3				7	7	0.928571429	27	0	60	0	8	463		mac	mac	mac	9ma	1hs	1hs	1hmace	0	0	0	3	0	0	0	0	0				5	4	5	1	3	1	2	flpmac	invmac			0	36	29	0	0	5	0	0	0	0	0	7	0	150	100	66	150	100	0	0	0	0	0	0	3	0	1	0	1	1	1	1	1	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Morning Star	1	1	1	0	5	12	5	12	0	1	0	10	4				7	14	0.5	36	0	72	0	13	844		mst	mac	mac	9mt	1hs	1hs	1hmace	0	0	0	3	0	0	0	0	0				5	4	5	1	3	1	2	flpmst	invmst	invmstu		0	36	29	0	0	5	0	0	0	0	0	7	0	150	100	66	150	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	1	2	0	0	0
Flail	1	1	1	0	1	15	1	15	0	1	0	-10	2				7	0	-2.666666667	41	35	30	0	19	1412		fla	fla	mac	9fl	1hs	1hs	1hmace	0	0	0	3	0	0	0	0	0				5	4	5	2	3	1	3	flpfla	invfla			0	36	29	0	0	5	0	0	0	0	0	7	0	150	100	66	150	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
War Hammer	4	1	1	0	11	20	11	20	0	1	0	20	5				7	21	0.574074074	53	0	55	0	25	2081		whm	whm	mac	9wh	1hs	1hs	1hmace	0	0	0	3	0	0	0	0	0				5	4	5	2	3	1	3	flpwhm	invwhm			0	31	29	0	0	5	0	0	0	0	178	7	0	150	100	66	150	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Maul	1	1	1	0	1	1	30	40	0	1	0	10	6				9	18	0.052631579	69	0	60	0	21	1670		mau	mau	mau	9ma	stf	stf	2hmace	0	0	0	5	1	0	0	0	0				5	4	5	2	4	1	3	flpmau	invmau	invmauu		0	31	16	0	0	5	0	0	0	0	0	7	0	150	100	100	150	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Great Maul	1	1	0	0	1	1	35	55	0	1	0	20	6				9	27	0.034482759	99	0	60	0	32	3215		gma	mau	mau	9gm	stf	stf	2hmace	0	0	0	5	1	0	0	0	0				5	4	5	2	3	1	3	flpgma	invgma			0	31	16	0	0	5	0	0	0	0	0	7	0	150	100	100	150	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Short Sword	1	1	1	0	2	7	2	7	0	1	0	0	3				7	7	0.642857143	0	0	24	0	1	72		ssd	ssd	ssd	9ss	1hs	1hs	1hsword	2	0	0	3	0	0	0	0	0				5	4	5	1	3	1	2	flpssd	invssd			0	30	29	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	3	1	1	0	1	1	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	1	2	0	0	0
Scimitar	1	1	1	0	2	6	2	6	0	1	0	-20	0				7	-7	-0.307692308	0	21	22	0	5	274		scm	scm	scm	9sm	1hs	1hs	1hsword	2	0	0	3	0	0	0	0	0				5	4	5	1	3	1	2	flpscm	invscm	invscmu		0	30	29	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	1	2	0	0	0
Saber	1	1	1	0	3	8	3	8	0	1	0	-10	1				7	0	-1.833333333	25	25	32	0	8	466		sbr	scm	scm	9sb	1hs	1hs	1hsword	2	0	0	3	0	0	0	0	0				5	4	5	1	3	1	2	flpsbr	invsbr	invsbru		0	30	29	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	3	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	1	2	0	0	0
Falchion	2	1	1	0	7	15	7	15	0	1	0	20	6				7	21	0.407407407	33	0	32	0	11	683		flc	flc	scm	9fc	1hs	1hs	1hsword	2	0	0	3	0	0	0	0	0				5	4	5	1	3	1	2	flpflc	invflc	invflcu		0	30	29	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	1	2	0	0	0
Crystal Sword	4	1	1	0	5	15	5	15	0	1	0	0	3				7	7	1.428571429	43	0	10	0	11	2127		crs	crs	ssd	9cr	1hs	1hs	1hsword	2	0	0	3	0	0	0	0	0				5	4	5	2	3	1	3	flpcrs	invcrs	invcrsu		0	30	29	1	0	5	0	5	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	1	1			0	0	0	0	0	1	8	0	0	0
Broad Sword	1	1	1	0	7	14	7	14	0	1	0	0	3				8	8	1.3125	48	0	32	0	15	1029		bsd	bsd	ssd	9bs	1hs	1hs	1hsword	2	0	0	3	0	0	0	0	0				5	4	5	2	3	1	3	flpbsd	invbsd	invbsdu		0	30	29	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	255			0	0	0	0	0	1	2	0	0	0
Long Sword 	1	1	1	0	3	19	3	19	0	1	0	-10	2				7	0	-3.666666667	55	39	44	0	20	1520		lsd	lsd	ssd	9ls	1hs	1hs	1hsword	2	0	0	3	0	0	0	0	0				5	4	5	2	3	1	3	flplsd	invlsd	invlsdu		0	30	29	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255			0	0	0	0	0	1	2	0	0	0
War Sword	1	1	0	0	8	20	8	20	0	1	0	0	2				7	7	2	71	45	44	0	27	1997		wsd	flc	ssd	9wd	1hs	1hs	1hsword	2	0	0	3	0	0	0	0	0				5	4	5	1	3	1	2	flpwsd	invwsd			0	30	29	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	1	2	0	0	0
Two-Handed Sword	1	1	1	0	2	9	8	17	2	1	0	0	3				9	9	0.611111111	35	27	44	0	10	644		2hs	clm	clm	92h	1hs	2hs	2hsword	2	0	0	4	1	0	0	0	0				5	4	5	1	4	1	3	flp2hs	inv2hs	inv2hsu		0	30	16	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	3	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	1	2	0	0	0
