name	rarity	spawnable	completed	uniqueonly	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	cost	code	alternategfx	OpenBetaGfx	ubercode	spelloffset	component	bodyLoc1	bodyLoc2	invwidth	invheight	hasinv	gemsockets	flippyfile	invfile	uniqueinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	sound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Amazon	Paladin	Barbarian	Necromancer	Sorceress	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam
Studded Leather 	1	1	1	0	32	35	0	0	27	0	32	0	8	2385	stu	stu	stu	xtu	0	1	3	3	2	3	0	0	flpstu	invstu		1	0	0	1	1	1	0	0	0	0	0	3	17	0	0	5	0	0	0	0	0	2	0	0	0	0	1	1	1	1	1	20	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Ring Mail	1	1	1	0	45	48	0	5	36	0	26	0	11	4428	rng	rng	rng	xng	0	1	3	3	2	3	0	0	flprng	invrng		0	0	1	1	1	1	0	0	0	0	0	3	7	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	1	0	1	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	1	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Scale Mail	1	1	1	0	57	60	0	10	44	0	36	0	13	6508	scl	scl	scl	xcl	0	1	3	3	2	3	0	0	flpscl	invscl		1	1	1	1	1	1	0	0	0	0	0	3	7	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Chain Mail	1	1	1	0	72	75	0	5	48	0	45	0	15	9360	chn	chn	chn	xhn	0	1	3	3	2	3	0	0	flpchn	invchn		1	1	1	1	2	2	0	0	0	0	0	3	7	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1			0	0	0	0	0	2	8	0	0	0	0	0
Breast Plate	2	1	1	0	65	68	1	0	30	0	50	0	18	10078	brs	brs	brs	xrs	0	1	3	3	2	3	0	0	flpbrs	invbrs		0	0	2	0	2	2	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1			0	0	0	0	0	2	8	0	0	0	0	0
Splint Mail	1	1	1	0	90	95	0	5	51	0	30	0	20	15489	spl	spl	spl	xpl	0	1	3	3	2	3	0	0	flpspl	invspl		1	1	2	1	1	1	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1			0	0	0	0	0	2	8	0	0	0	0	0
Plate Mail	1	1	1	0	108	116	0	10	65	0	60	0	24	22335	plt	plt	plt	xlt	0	1	3	3	2	3	0	0	flpplt	invplt		2	2	2	2	1	1	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	1	1	1	1	1			0	0	0	0	0	2	8	0	0	0	0	0
Field Plate	3	1	1	0	101	105	2	5	55	0	48	0	28	23841	fld	fld	fld	xld	0	1	3	3	2	3	0	0	flpfld	invfld		1	1	2	2	2	2	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	1			0	0	0	0	0	2	8	0	0	0	0	0
Gothic Plate	3	1	1	0	128	135	0	5	70	0	55	0	32	34646	gth	gth	gth	xth	0	1	3	3	2	3	0	0	flpgth	invgth		2	2	1	2	2	2	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	1	1	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	1			0	0	0	0	0	2	8	0	0	0	0	0
Full Plate Mail	1	1	1	0	150	161	2	10	80	0	70	0	37	47192	ful	ful	ful	xul	0	1	3	3	2	3	0	0	flpful	invful	invfulu	2	2	2	2	2	2	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	1			0	0	0	0	0	2	8	0	0	0	0	0
Ancient Armor	4	1	1	0	218	233	5	5	100	0	60	0	40	73864	aar	aar	aar	xar	0	1	3	3	2	3	0	0	flpaar	invaar	invaaru	1	2	2	2	2	0	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Light Plate	2	1	1	0	90	107	1	0	41	0	60	0	35	28327	ltp	ltp	ltp	xtp	0	1	3	3	2	3	0	0	flpltp	invltp		2	0	1	1	2	2	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Buckler	1	1	1	0	4	6	0	0	12	0	12	0	1	68	buc	buc	buc	xuc	0	7	4	5	2	2	1	1	flpbuc	invbuc	invbucu							0	0	0	0	0	2	32	0	0	5	0	0	0	0	0	1	0	1	3	0	3	1	1	1	1	3	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	5	8	0	0	0	0	0
Small Shield	1	1	1	0	8	10	0	0	22	5	16	0	5	410	sml	buc	buc	xml	0	7	4	5	2	2	1	2	flpsml	invsml	invsmlu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	2	3	0	3	1	1	1	1	5	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	5	5	0	0	0	0	0
Large Shield	1	1	1	0	12	14	0	5	34	12	24	0	11	1214	lrg	lrg	buc	xrg	0	7	4	5	2	3	1	3	flplrg	invlrg	invlrgu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	2	4	0	3	0	1	0	1	10	0	1	0	1	1	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	1	1	0	0	255			0	0	0	0	0	2	2	0	0	0	0	0
Kite Shield	2	1	1	0	16	18	0	0	47	8	30	0	15	2129	kit	kit	buc	xit	0	7	4	5	2	3	1	3	flpkit	invkit	invkitu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	2	5	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1			0	0	0	0	0	2	2	0	0	0	0	0
Tower Shield	2	1	1	0	22	25	1	10	75	24	60	0	22	4249	tow	tow	buc	xow	0	7	4	5	2	3	1	3	flptow	invtow	invtowu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	1	5	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	1	1	0	0	1			0	0	0	0	0	2	2	0	0	0	0	0
Gothic Shield	3	1	1	0	30	35	0	5	60	16	40	0	30	8000	gts	kit	buc	xts	0	7	4	5	2	4	1	3	flpgts	invgts	invgtsu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	2	6	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	1	1	0	0	1	0	0	0	0	1			0	0	0	0	0	2	2	0	0	0	0	0
Gloves(L)	1	1	1	0	2	3	0	0	0	0	12	0	3	80	lgl	lgl	lgl	xlg	0	16	10	10	2	2	0	0	flplgl	invlgl								0	0	0	0	0	16	10	0	0	5	0	0	0	0	0	5	0	0	0	0	1	1	1	1	1	3	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Heavy Gloves	1	1	1	0	5	6	0	0	0	0	14	0	7	352	vgl	vgl	vgl	xvg	0	16	10	10	2	2	0	0	flpvgl	invvgl								0	0	0	0	0	16	10	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	1	0	1	5	0	1	0	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Bracers(M)	2	1	1	0	8	9	0	0	25	0	16	0	12	859	mgl	mgl	mgl	xmg	0	16	10	10	2	2	0	0	flpmgl	invmgl								0	0	0	0	0	16	35	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	1	0	0	10	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Light Gauntlets	2	1	1	0	9	11	0	0	45	0	18	0	20	1635	tgl	mgl	mgl	xtg	0	16	10	10	2	2	0	0	flptgl	invtgl								0	0	0	0	0	16	36	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	2	1	1	1	1	2	1	1	1	0	0	1	1	255	1	1	0	1	255			0	0	0	0	0	0	8	0	0	0	0	0
Gaunlets(H)	3	1	1	0	12	15	0	0	60	0	24	0	27	2964	hgl	hgl	hgl	xhg	0	16	10	10	2	2	0	0	flphgl	invhgl								0	0	0	0	0	16	36	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	255	1	1	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Leather Boots	1	1	1	0	2	3	0	0	0	0	12	0	3	80	lbt	lbt	lbt	xlb	0	16	9	9	2	2	0	0	flplbt	invlbt								0	0	0	0	0	15	4	0	0	5	0	0	0	0	0	6	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Heavy Boots	1	1	1	0	5	6	0	0	18	0	14	0	7	334	vbt	vbt	vbt	xvb	0	16	9	9	2	2	0	0	flpvbt	invvbt								0	0	0	0	0	15	4	0	0	5	0	0	0	0	0	6	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Chain Boots	2	1	1	0	8	9	0	0	30	0	16	0	12	854	mbt	mbt	mbt	xmb	0	16	9	9	2	2	0	0	flpmbt	invmbt								0	0	0	0	0	15	33	0	0	5	0	0	0	0	0	6	0	0	0	0	3	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Light Plate Boots	2	1	1	0	9	11	0	0	50	0	18	0	20	1630	tbt	mbt	mbt	xtb	0	16	9	9	2	2	0	0	flptbt	invtbt								0	0	0	0	0	15	34	0	0	5	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	2	1	1	1	1	2	1	1	1	0	0	1	1	255	1	1	0	1	255			0	0	0	0	0	0	8	0	0	0	0	0
Plate Boots	3	1	1	0	12	15	0	0	70	0	24	0	27	2954	hbt	hbt	hbt	xhb	0	16	9	9	2	2	0	0	flphbt	invhbt								0	0	0	0	0	15	34	0	0	5	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	255	1	1	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Sash(L)	1	1	1	0	2	2	0	0	0	0	12	0	3	64	lbl	lbl	lbl	zlb	0	16	8	8	2	1	0	0	flplbl	invlbl								0	0	0	0	0	19	17	0	0	5	0	0	0	0	0	4	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Light Belt	1	1	1	0	3	3	0	0	0	0	14	0	7	192	vbl	vbl	vbl	zvb	0	16	8	8	2	1	0	0	flpvbl	invvbl								0	0	0	0	0	19	2	0	0	5	0	0	0	0	0	4	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Belt(M)	2	1	1	0	5	5	0	0	25	0	16	0	12	495	mbl	mbl	mbl	zmb	0	16	8	8	2	1	0	0	flpmbl	invmbl								0	0	0	0	0	19	2	0	0	5	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Heavy Belt	2	1	1	0	6	6	0	0	45	0	18	0	20	963	tbl	mbl	mbl	ztb	0	16	8	8	2	1	0	0	flptbl	invtbl								0	0	0	0	0	19	2	0	0	5	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	2	1	1	1	1	2	1	1	1	0	0	1	1	255	1	1	0	1	255			0	0	0	0	0	0	8	0	0	0	0	0
