name	namco	level	rarity	spawnable	completed	speed	nodurability	uniqueonly	cost	code	alternategfx	spelloffset	component	bodyLoc1	bodyLoc2	invwidth	invheight	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	type	sound	unique	transparent	transtbl	quivered	lightradius	belt	autobelt	stackable	minstack	maxstack	quest	missiletype	spellicon	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Amazon	Paladin	Barbarian	Necromancer	Sorceress	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam
Town Portal Book	Town Portal Book	6	2	1	1	0	1	0	200	tbk	bbk	0	16	0	0	1	2	flpbbk	invbbk			0	xxx			1	0	18	3	0	0	5	0	0	0	0	1	0	20	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	2	0	0	255	0	0	0	0	255	0	0	0	0	255	2	4	2	4	255	0	0	0	0	255	0	0	0	0	255	2	4	2	4	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Identify Book	Identify Book	6	2	1	1	0	1	0	200	ibk	rbk	0	16	0	0	1	2	flprbk	invrbk			0	xxx			1	0	18	3	0	0	5	0	0	0	0	1	0	20	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	2	0	0	255	0	0	0	0	255	0	0	0	0	255	2	4	2	4	255	0	0	0	0	255	0	0	0	0	255	2	4	2	4	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
amulet	amulet	1	4	1	1	0	1	0	2400	amu	amu	0	16	2	2	1	1	flpamu	invamu			0	xxx			0	0	12	1	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
viper amulet	viper amulet	15	4	0	1	0	1	0	400	vip	vip	0	16	2	2	1	1	flpamu	invvip	invvip		0	xxx			0	0	12	1	0	0	5	0	0	0	0	0	0	0	10	0	-1	0	0	0	non	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	1	0	0	0	0
ring	ring	1	4	1	1	0	1	0	1800	rin	rin	0	16	6	7	1	1	flprin	invrin			0	xxx			0	0	10	25	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
gold	gold	0	1	1	1	0	1	0	0	gld	gld	0	16	0	0	1	1	flpgld	invgld			0	xxx			0	0	4	11	0	0	5	0	0	0	0	1	0	5000	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Bark Scroll	Bark Scroll	0	0	0	1	0	1	0	100	bks	bks	0	16	0	0	2	2	flpscr	invscb			0	xxx			0	0	39	26	1	0	5	0	0	0	0	0	0	0	5	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
deciphered Bark Scroll	deciphered Bark Scroll	0	0	0	1	0	1	0	12000	bkd	bkd	0	16	0	0	2	2	flpscr	invscb			0	xxx			0	0	39	26	1	0	5	0	0	0	0	0	0	0	5	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Arrows	Arrows	0	1	1	1	0	1	0	100	aqv	aqv	0	16	4	5	1	3	flpqvr	invqvr			0	xxx			0	0	5	23	0	0	5	1	0	0	0	1	100	250	0	0	-1	0	1	0	non	0	3	5	0	0	255	1	3	0	0	255	0	0	0	0	255	3	4	3	4	255	0	0	0	0	255	0	0	0	0	255	3	4	3	4	255	0	0	0	0	255	0	0	0	0	255	2	3	0	0	255	2	3	0	0	255	0	0	0	0	255	3	4	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Torch	Torch	999	999	0	1	0	1	0	50	tch	bsh	0	7	4	5	1	2	flptrch	invtrch			0	xxx			0	0	21	28	0	1	3	0	6	0	0	0	2	10	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Bolts	Bolts	1	1	1	1	0	1	0	200	cqv	cqv	0	16	4	5	1	3	flpqvr	invcqv			0	xxx			0	0	6	23	0	0	5	1	0	0	0	1	60	150	0	0	-1	0	1	0	non	0	2	4	0	0	255	2	4	0	0	255	0	0	0	0	255	3	4	3	4	255	0	0	0	0	255	0	0	0	0	255	3	4	3	4	255	0	0	0	0	255	0	0	0	0	255	2	3	0	0	255	2	3	0	0	255	0	0	0	0	255	3	4	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Town Portal Scroll	Town Portal Scroll	0	2	1	1	0	1	0	50	tsc	bsc	0	16	0	0	1	1	flpbsc	invbsc			0	xxx			1	0	22	26	0	0	5	0	0	1	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	11	17	0	0	255	0	0	0	0	255	0	0	0	0	255	11	17	11	17	255	0	0	0	0	255	0	0	0	0	255	11	17	11	17	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	5	7	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Identify Scroll	Identify Scroll	0	2	1	1	0	1	0	50	isc	rsc	0	16	0	0	1	1	flprsc	invrsc			0	xxx			1	0	22	26	0	0	5	0	0	1	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	11	17	0	0	255	0	0	0	0	255	0	0	0	0	255	11	17	11	17	255	0	0	0	0	255	0	0	0	0	255	11	17	11	17	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	5	7	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Heart	0	1	0	1	0	1	0	60	hrt	hrt	0	16	0	0	1	1	flphrt	invhrt			1	hpo	0	0	0	0	40	20	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Brain	0	1	0	1	0	1	0	60	brz	brz	0	16	0	0	1	1	flpbrnz	invbrnz			1	opm	1	1	0	0	40	20	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Jawbone	0	1	0	1	0	1	0	75	jaw	jaw	0	16	0	0	1	1	flpjaw	invjaw			1	cqv	10	40	0	0	40	19	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Eye	0	1	0	1	0	1	0	45	eyz	eyz	0	16	0	0	1	1	flpeye	inveye			1	mpo	0	0	0	0	40	20	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Horn	0	1	0	1	0	1	0	48	hrn	hrn	0	16	0	0	1	1	flphorn	invhorn			1	aqv	10	40	0	0	40	19	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Tail	0	1	0	0	0	1	0	63	tal	tal	0	16	0	0	1	1	flptail	invtail			1	vps	0	0	0	0	40	20	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Flag	0	1	0	0	0	1	0	98	flg	flg	0	16	0	0	1	2	flpflag	invflag			0	xxx			0	0	40	17	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Fang	0	1	0	0	0	1	0	80	fng	fng	0	16	0	0	1	1	flpfang	invfang			1	key	1	1	0	0	40	19	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Quill	0	1	0	0	0	1	0	32	qll	qll	0	16	0	0	1	1	flpquil	invquil			1	aqv	10	40	0	0	40	19	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Soul	0	1	0	0	0	1	0	100	sol	sol	0	16	0	0	1	1	flpsple	invsple			1	mpo	0	0	0	0	40	24	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Scalp	0	1	0	0	0	1	0	40	scz	scz	0	16	0	0	1	1	flpscp	invscp			1	hpf	0	0	0	0	40	20	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Not used	Spleen	0	1	0	0	0	1	0	85	spe	spe	0	16	0	0	1	1	flpsple	invsple			1	gps	1	1	0	0	40	20	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Skeleton Key	Skeleton Key	0	1	1	1	0	1	0	45	key	key	0	16	0	0	1	1	flpkey	invkey			0	xxx			0	0	41	15	0	0	5	0	0	0	0	1	1	6	0	0	-1	0	0	0	non	0	0	0	0	0	255	5	9	5	9	255	1	2	1	2	255	0	0	0	0	255	6	9	6	9	255	0	0	0	0	255	2	3	2	3	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Mephisto Key	Mephisto Key	0	1	0	1	0	1	0	99999	luv	key	0	16	0	0	1	2	flpmph	invmph			0	xxx			0	0	41	15	0	0	5	0	0	0	0	0	0	0	20	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
scroll of self resurrect	scroll of self resurrect	0	999	0	1	0	1	0	10000	xyz	scr	0	16	0	0	1	1	flpwps	invxyz			0	xxx			1	0	39	22	0	0	5	0	0	0	0	0	0	0	19	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
jade figurine	jade figurine	0	0	0	1	0	1	0	100	j34	bks	0	16	0	0	1	2	flpjbi	invjbi			0	xxx			0	0	39	24	1	0	3	0	0	0	0	0	0	0	19	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
gold bird	gold bird	0	0	0	1	0	1	0	100	g34	bks	0	16	0	0	1	2	flpgbi	invgbi			0	xxx			0	0	39	24	1	0	4	0	0	0	0	0	0	0	19	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
lam esen's tome	lam esen's tome	0	0	0	1	0	1	0	100	bbb	bbb	0	16	0	0	2	2	flpbbb	invbbb			0	xxx			0	0	39	3	1	0	5	0	0	0	0	0	0	0	16	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Horadric Cube	Horadric Cube	0	0	0	1	0	1	0	0	box	rbk	0	16	0	0	2	2	flpbox	invbox			0	xxx			1	0	39	24	0	0	5	0	0	0	0	0	0	0	10	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Scroll of Horadric Quest Info	Scroll of Horadric Quest Info	0	999	0	1	0	1	0	0	tr1	grg	0	16	0	0	2	2	flphscr	invhscr			0	xxx			0	0	39	3	1	0	5	0	0	0	0	0	0	0	10	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Mephisto SoulStone	Mephisto SoulStone	0	999	0	1	0	1	0	0	mss	scr	0	16	0	0	1	1	flpmss	invmss			0	xxx			0	0	39	9	1	0	5	0	0	0	0	0	0	0	23	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
